Bar Code,Description,Category Name,Location Name,Serial Number,Manufacturer Name,Division,Department
4357,DESIGNJET 500,INK PRINTER,A231,SG3AF61004,HP,INSTRUCTION,ENVIRONMENTAL TECHNOLOGY
4407,PIXMA IP6600D,COLOR INK PRINTER,E210,AAEF05194,CANON,INSTRUCTION,BIO SCIENCE
7128,DESKJET 5740,INK PRINTER,F126,MY45H1W02H,HP,INSTRUCTION,AUTOMOTIVE
7161,BUBBLEJET COLOR 2100,INK PRINTER,F126,FEU86791,CANON,,AUTOMOTIVE
7363,DESKJET 550C,INK PRINTER,F113,US2CG150RG,HP,INSTRUCTION,AUTOMOTIVE
7690,LASERJET 4350DTN,,MODULAR 3,CNGXH08285,HP,INSTRUCTION,NURSING
8046,STYLUS 4800,INK PRINTER,B217,GK7E026590,EPSON,CAMPUS DIRECTOR,MARKETING
8135,PIXMA IP6700D,COLOR INK PRINTER,E210,AAHG10921,CANON,INSTRUCTION,BIO SCIENCE
8136,PIXMA IP6700D,COLOR INK PRINTER,E210,AAHG10920,CANON,INSTRUCTION,BIO SCIENCE
8999,BST1200ES ,3D PRINTER,E119,P09847,DIMENSION,INSTRUCTION,MECHANICAL ENGINEERING
9355,LASERJET P2035N,LASER PRINTER,B122,CNB9X35091,HP,,BUSINESS OFFICE
9779,5130CDN,COLOR LASER PRINTER,E400,J86DBK1,DELL,INSTRUCTION,DEAN OF INSTRUCTION
10070,LASERJET P3015DN,LASER PRINTER,C149,VNBCB1P0D5,HP,INSTRUCTION,NURSING
10166,5350DN,LASER PRINTER,MODULAR 1,28HT6L1,DELL,INSTRUCTION,NURSING
10444,PHOTOSMART D110A,,B226,CN731A,HP,CAMPUS DIRECTOR,MARKETING
10459,2350DN,LASER PRINTER,B203,2Y26GN1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
10490,5535DN,MULTI-FUNCTION PRINTER,C267,J82M6L1,DELL,INSTRUCTION,
10493,5350DN,LASER PRINTER,A165,4FMT6L1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
10513,3330DN,LASER PRINTER,E216,721K1L4,DELL,HUMAN RESOURCES,HUMAN RESOURCES 
10514,5350DN,LASER PRINTER,E418,792CK3G,DELL,INSTRUCTION,MATHEMATICS
10516,3330DN,LASER PRINTER,E036,721L5F3,DELL,IIT,TELECOMMUNICATION
10627,3115CN,PRINTERS,W265,H59X7P1,DELL,IIT,SYSTEMS
10636,2350DN,LASER PRINTER,SE308H,7V7DGN1,DELL,INSTRUCTION,ALLIED HEALTH
10637,2350DN,LASER PRINTER,E004,8V7DGN1,DELL,STUDENT AFFAIRS,SGA
10651,2350DN,LASER PRINTER,E114,2F7GGN1,DELL,STUDENT AFFAIRS,STUDENT SUCCESS CENTER
10853,5130CDN,COLOR LASER PRINTER,SE125,FNBY6S1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
10872,2350DN,LASER PRINTER,SE125C,7RGPGN1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
10873,2350DN,LASER PRINTER,STORAGE,5PJPGN1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
10882,5350DN,LASER PRINTER,E320,8V5V6L1,DELL,INSTRUCTION,BUSINESS ADMINISTRATION
11098,2350DN,LASER PRINTER,E024,9V06GN1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
11101,5350DN,LASER PRINTER,W051,68KT6L1,DELL,PUBLIC SAFETY,PUBLIC SAFETY
11103,5350DN,LASER PRINTER,E435,GVJT6L1,DELL,INSTRUCTION,ALLIED HEALTH
11105,5350DN,LASER PRINTER,W361,5WJT6L1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
11106,5350DN,LASER PRINTER,W074,7DKT6L1,DELL,INSTRUCTION,ALLIED HEALTH
11107,5350DN,LASER PRINTER,SE308,9VJT6L1,DELL,INSTRUCTION,ALLIED HEALTH
11120,2350DN,LASER PRINTER,E206,4XH7GN1,DELL,BUSINESS SERVICES,BUSINESS OFFICE
11226,5350DN,LASER PRINTER,W279,6XVT6L1,DELL,INSTRUCTION,WRITING CENTER
11228,5350DN,LASER PRINTER,W273,7NPT6L1,DELL,INSTRUCTION,ENGLISH/READING
11229,5350DN,LASER PRINTER,W280,7L0V6L1,DELL,INSTRUCTION,ENGLISH/READING
11231,5350DN,LASER PRINTER,E319,4Y5V6L1,DELL,INSTRUCTION,BUSINESS ADMINISTRATION
11668,5350DN,LASER PRINTER,D109,8Z2V6L1,DELL,STUDENT AFFAIRS,STUDENT SUPPORT SERVICES
11669,DESIGNJET T2300 PS EMFP,INK PRINTER,B234,SG16K3905F,HP,INSTRUCTION,ARCHITECTURAL
2002965,DESIGNJET T2300 PS EMFP,PLOTTER ,LIBRARY,SG14D39013,HP,INSTRUCTION,ARCHITECTURAL
11677,2350DN,LASER PRINTER,B133,2RM7GN1,DELL,INSTRUCTION,MATHEMATICS
12009,5350DN,LASER PRINTER,E210,8VVT6L1,DELL,INSTRUCTION,BIO CHEM
12010,5350DN,LASER PRINTER,B122,8WVT6L1,DELL,BUSINESS SERVICES,BUSINESS OFFICE
12054,5350DN,LASER PRINTER,D204,9CVT6L1,DELL,INSTRUCTION,LIBRARY
12057,5130CDN,COLOR LASER PRINTER,D204,BPQV3P1,DELL,INSTRUCTION,LIBRARY
12058,5350DN,LASER PRINTER,C279,96ZT6L1,DELL,INSTRUCTION,NURSING
12079,1350CNW ,COLOR LASER PRINTER,A209,5GJNGM1,DELL,IIT,MEDIA PRODUCTION
12082,5350DN,LASER PRINTER,A165,B9ST6L1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
12086,5350DN,LASER PRINTER,F120,BF2V6L1,DELL,INSTRUCTION,AUTOMOTIVE
12116,5350DN,LASER PRINTER,A165,GBQT6L1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
12252,2350DN,LASER PRINTER,W062,3F1MGN1,DELL,ADMINISTRATIVE SERVICES,MAINTENANCE
12267,5350DN,LASER PRINTER,A227,GBQT6L1,DELL,IIT,COMPUTING SUPPORT
12269,5350DN,LASER PRINTER,E220,BPWT6L1,DELL,INSTRUCTION,BIO SCIENCE
12288,5130CDN,COLOR LASER PRINTER,A169,8JGY6S1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
12503,5535DN,MULTI-FUNCTION PRINTER,I127,79476C0,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
12580,5350DN,LASER PRINTER,I108,HOLT6L1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
12582,5350DN,LASER PRINTER,I127,90LT6L1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
12583,2335DN,LASER PRINTER,I120,3PKKJL1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
12585,3330DN,LASER PRINTER,I109,9592KJ1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
12586,3330DN,LASER PRINTER,I127,G482KJ1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
12588,3330DN,LASER PRINTER,I117,G492KJ1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
12590,3330DN,LASER PRINTER,I127,BM82KJ1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
12591,3330DN,LASER PRINTER,I106,9M82KJ1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
12592,3330DN,LASER PRINTER,I104,6N82KJ1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
12593,3330DN,LASER PRINTER,I115,D492KJ1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
12594,3330DN,LASER PRINTER,I118,C592KJ1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
12595,3330DN,LASER PRINTER,I122,6692KJ1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
12596,3330DN,LASER PRINTER,I110,CM82KJ1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
12597,3330DN,LASER PRINTER,I119,BH82KJ1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
12598,3330DN,LASER PRINTER,I128,B492KJ1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
12599,3330DN,LASER PRINTER,I111,1692KJ1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
12600,3330DN,LASER PRINTER,I113,7592KJ1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
12601,3330DN,LASER PRINTER,I129,HM82KJ1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
12756,5350DN,LASER PRINTER,C113,4KMT6L1,DELL,INSTRUCTION,TESTING CENTER
12760,5350DN,LASER PRINTER,A152,5LMT6L1,DELL,IIT,MEDIA SUPPORT
12762,5350DN,LASER PRINTER,C283,2LMT6L1,DELL,INSTRUCTION,NURSING
12763,5350DN,LASER PRINTER,F117,C8MT6L1,DELL,INSTRUCTION,ELECTRONICS
12798,5350DN,LASER PRINTER,E120,G7MT6L1,DELL,INSTRUCTION,MECHANICAL ENGINEERING
12944,3115CN ,MULTI-FUNCTION PRINTER,A228,646VTH1,DELL,IIT,COMPUTING SUPPORT
1001018,5350DN,LASER PRINTER,SE113,H9RT6L1,DELL,INSTRUCTION,ENGLISH/READING
11797,B2360DN ,LASER PRINTER,MAIL ROOM,JNWLSS1,DELL,ADMINISTRATIVE SERVICES,MAILROOM
11796,B2360DN ,LASER PRINTER,B101,JJWLSS1,DELL,ADMINISTRATIVE SERVICES,CUSTODIAL SERVICES
12251,5350DN,LASER PRINTER,E114,GDRT6L1,DELL,INSTRUCTION,ENGLISH/READING
11789,C1760NW,COLOR LASER PRINTER,A222,6LXKQV1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,CAFETERIA
1001023,2350DN,LASER PRINTER,E401E,FB7GN1,DELL,INSTRUCTION,DEAN OF INSTRUCTION
4111,LASERJET 4300N,LASER PRINTER,A155,CNDY508645,HP,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
11896,5350DN,LASER PRINTER,F126,6D7V6L1,DELL,INSTRUCTION,AUTOMOTIVE
1001039,C3765DNF,MULTI-FUNCTION PRINTER,W274,6S9VXS1,DELL,INSTRUCTION,ENGLISH/READING
11895,5350DN,LASER PRINTER,A224,DF7V6L1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,COMPUTER INSTITUTE
1001037,5350DN,LASER PRINTER,E118,8H7V6L1,DELL,STUDENT AFFAIRS,ADMISSIONS
1001035,5350DN,LASER PRINTER,E107,GB7V6L1,DELL,BUSINESS SERVICES,FINANCIAL AID OFFICE
1001040,5350DN,LASER PRINTER,SE212,5C7V6L1,DELL,INSTRUCTION,LANGUAGE AND CULTURE
1001029,2360DN,LASER PRINTER,E222,8NRMSS1,DELL,HUMAN RESOURCES,HUMAN RESOURCES 
1001041,5350DN,LASER PRINTER,SE308,HD7V6L1,DELL,INSTRUCTION,ALLIED HEALTH
11897,5130CDN,COLOR LASER PRINTER,C131,F9RV3P1,DELL,IIT,SYSTEMS
1001051,2350DN,LASER PRINTER,SE308A,7NXMSS1,DELL,INSTRUCTION,ALLIED HEALTH
4053,LASERJET 4700,COLOR LASER PRINTER,A229,JPTLB40724,HP,IIT,COMPUTING SUPPORT
10850,SB360,CARD PRINTER,SE100,B17006,DATACARD,PUBLIC SAFETY,PUBLIC SAFETY
11678,SD360,CARD PRINTER,STORAGE,B17012,DATACARD,IIT,COMPUTING SUPPORT
11679,SD360,CARD PRINTER,A118,B17009,DATACARD,PUBLIC SAFETY,PUBLIC SAFETY
1001054,3330DN,LASER PRINTER,W063,D2RXNK1,DELL,ADMINISTRATIVE SERVICES,MAINTENANCE
2000078,PT 9600,LABEL MAKER,A228,U60277-J0G577091,BROTHER,IIT,COMPUTING SUPPORT
11794,STYLUS PRO 9990,INK PRINTER,B217,KJFE013594,EPSON,CAMPUS DIRECTOR,MARKETING
2000015,LASER PRINTER,LASER PRINTER,A110,U62710K0J312211,BROTHER,INSTRUCTION,CULINARY ARTS
2000088,STYLUS PRO 9880,PLOTTER ,E210,JZ20013453,EPSON,INSTRUCTION,BIO SCIENCE
1001113,5350DN,LASER PRINTER,SE040,70HFSS1,DELL,INSTRUCTION,DENTAL HYGIENE
1001120,B5460DN,LASER PRINTER,W274,8L2GSS1,DELL,INSTRUCTION,ENGLISH/READING
10883,C1765DN,COLOR LASER PRINTER,E125,2CFM3Y1,DELL,STUDENT AFFAIRS,COUNSELING 
10892,2350DN,LASER PRINTER,E110,6KLGN1,DELL,BUSINESS SERVICES,FINANCIAL AID OFFICE
2000245,B5460DN,LASER PRINTER,A227,C2PFSS1,DELL,IIT,COMPUTING SUPPORT
10896,B2360DN ,LASER PRINTER,W365,2NWRSS1,DELL,CAMPUS DIRECTOR,CAMPUS DIRECTOR
1001132,B5460DN,LASER PRINTER,W360,CYNFSS1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
1000544,B2360DN ,LASER PRINTER,SE210H,13WRSS1,DELL,INSTRUCTION,HUMAN SERVICES
10894,B2360DN ,LASER PRINTER,W250A,JKJRSS1,DELL,IIT,COMPUTING SUPPORT
10895,B5460DN,LASER PRINTER,E412,FYNFSS1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
10893,B5460DN,LASER PRINTER,W350,23PFSS1,DELL,CAMPUS DIRECTOR,CAMPUS DIRECTOR
1001128,B5460DN,LASER PRINTER,LIBRARY,DYNFSS1,DELL,INSTRUCTION,LIBRARY
1001131,B5460DN,LASER PRINTER,W158,H2PFSS1,DELL,INSTRUCTION,LIBRARY
10899,B2360DN ,LASER PRINTER,SE114,B3WRSS1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
10901,B2360DN ,LASER PRINTER,W155,47VRSS1,DELL,INSTRUCTION,LIBRARY
2000260,B2360DN ,LASER PRINTER,A158,7QJRSS1,DELL,DEMEP,DEMEP
2000258,B2360DN ,LASER PRINTER,A173,46HRSS1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
2000259,B2360DN ,LASER PRINTER,A156,GTHRSS1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,COMPUTER INSTITUTE
2000256,B2360DN ,LASER PRINTER,B132,9VHRSS1,DELL,INSTRUCTION,MATHEMATICS
2000257,B2360DN ,LASER PRINTER,E108,FVHRSS1,DELL,INSTRUCTION,MECHANICAL ENGINEERING
2000254,B2360DN ,LASER PRINTER,D143,76JRSS1,DELL,INSTRUCTION,CRIMINAL JUSTICE
2000255,B2360DN ,LASER PRINTER,B131,1NHRSS1,DELL,INSTRUCTION,MATHEMATICS
2000248,B2360DN ,LASER PRINTER,C285,HTHRSS1,DELL,INSTRUCTION,NURSING
2000249,B2360DN ,LASER PRINTER,C278,28JRSS1,DELL,INSTRUCTION,NURSING
1000547,B2360DN ,LASER PRINTER,SE308,72WRSS1,DELL,INSTRUCTION,ALLIED HEALTH
2000266,B5460DN,LASER PRINTER,B122,67PFSS1,DELL,BUSINESS SERVICES,BUSINESS OFFICE
2000267,B5460DN,LASER PRINTER,E119,B7PFSS1,DELL,INSTRUCTION,MECHANICAL ENGINEERING
2000264,B5460DN,LASER PRINTER,B128,D5PFSS1,DELL,INSTRUCTION,ENGLISH/READING
2000320,B5460DN,LASER PRINTER,B111,BBPFSS1,DELL,INSTRUCTION,ENGLISH/READING
1000545,B2360DN ,LASER PRINTER,SE302A,53WRSS1,DELL,INSTRUCTION,ALLIED HEALTH
2000265,B5460DN,LASER PRINTER,E117,HCPFSS1,DELL,INSTRUCTION,BIO SCIENCE
2000392,B5460DN,LASER PRINTER,B233,F5PFSS1,DELL,INSTRUCTION,DEAN OF INSTRUCTION
2000393,B5460DN,LASER PRINTER,F118,8CPFSS1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
2000263,B5460DN,LASER PRINTER,E207,2CPFSS1,DELL,INSTRUCTION,BIO SCIENCE
1001127,B5460DN,LASER PRINTER,E300,62PFSS1,DELL,IIT,CCIT 
2000607,B2360DN ,LASER PRINTER,D101,BVHRSS1,DELL,STUDENT AFFAIRS,ATHLETICS
1000772,B5465,MULTI-FUNCTION PRINTER,STORAGE,8GTGSS1 ,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
1000776,B2375DNF,MULTI-FUNCTION PRINTER,E430,1J7Y4Y1,DELL,CAMPUS DIRECTOR,ADMINISTRATIVE SERVICES 
2000630,B5465DNF,MULTI-FUNCTION PRINTER,B118,8MTGSS1,DELL,STUDENT AFFAIRS,REGISTRAR
2000632,B2360DN ,LASER PRINTER,D124,83MSSS1,DELL,STUDENT AFFAIRS,COUNSELING 
1000777,1765NF,PRINTERS,W159,F5MR3Y1,DELL,INSTRUCTION,LIBRARY
1000803,B5465,MULTI-FUNCTION PRINTER,SE036,2STGSS1,DELL,INSTRUCTION,DENTAL HYGIENE
